Modelo,Tipo,k,Macro_Precision,Macro_Recall,Macro_F1,Micro_Precision,Micro_Recall,Micro_F1,TP,FP,FN
API Deep-Seek,Full Level,6,0.12208296031035512,0.24164215372809822,0.1556704585576564,0.12422997946611909,0.2503448275862069,0.16605672461116194,726,5118,2174
API GPT-Mini,Full Level,6,0.10540137272455984,0.2081702690028563,0.13343038141605734,0.10518982932776036,0.2082758620689655,0.1397824577644064,604,5138,2296
API GPT‑4o,Full Level,6,0.11912861832288868,0.19292428699322164,0.1410215841057381,0.11872526556967299,0.19655172413793104,0.14803272302298404,570,4231,2330
API Gemini,Full Level,6,0.06450313339301701,0.1205290531611033,0.08079057866434769,0.06596306068601583,0.1206896551724138,0.08530343650987084,350,4956,2550
Agregado_Borda,Full Level,6,0.12638018501939716,0.29884682610734536,0.1694391205134267,0.1260265790652531,0.2910344827586207,0.17588829842659165,844,5853,2056
Agregado_Pluralidade,Full Level,6,0.12533572068039392,0.2907767404186383,0.16681982843576398,0.1249813349260863,0.2886206896551724,0.17442950922163175,837,5860,2063
API Maritalk,Full Level,7,0.08388753890096773,0.20289892143070298,0.11261959116243175,0.08329498389323516,0.18724137931034482,0.11529886399830129,543,5976,2357
API Deep-Seek,Full Level,7,0.11903482968836593,0.242874195336147,0.15367789097053408,0.12146752602875557,0.253448275862069,0.16422746061892526,735,5316,2165
API GPT-Mini,Full Level,7,0.10457006437310826,0.20925203563968114,0.13315769227349616,0.1043270053018642,0.2103448275862069,0.13947639190579628,610,5237,2290
API GPT‑4o,Full Level,7,0.11883019994031631,0.1938568444387603,0.14112426242343562,0.11787617876178762,0.19827586206896552,0.1478529184880432,575,4303,2325
API Gemini,Full Level,7,0.06428997740546531,0.12190177772093617,0.08101469627089723,0.0656221198156682,0.12275862068965518,0.08552552552552553,356,5069,2544
Agregado_Borda,Full Level,7,0.11331372298247856,0.312358784158247,0.15895850043777793,0.11290322580645161,0.3041379310344828,0.16467513069454817,882,6930,2018
Agregado_Pluralidade,Full Level,7,0.11216268064969945,0.3018480624120731,0.1561279479205647,0.11175115207373272,0.3010344827586207,0.1629947722180732,873,6939,2027
API Maritalk,Full Level,8,0.08313083514515922,0.2050709809438547,0.11226688361871891,0.08213063532212468,0.19034482758620688,0.11474898659183037,552,6169,2348
API Deep-Seek,Full Level,8,0.11785181395745406,0.24318753463784798,0.15288940394132874,0.12018917155903457,0.25413793103448273,0.1631975199291408,737,5395,2163
API GPT-Mini,Full Level,8,0.10447414417870998,0.20958029586051072,0.13323783796030886,0.10415248468345814,0.2110344827586207,0.13947128532360983,612,5264,2288
API GPT‑4o,Full Level,8,0.11865434625058616,0.19413394722257749,0.14107548176482823,0.11737184703010578,0.1989655172413793,0.14764585465711363,577,4339,2323
API Gemini,Full Level,8,0.0642260306091998,0.12217888050475337,0.0810281531857181,0.0653642505020997,0.12344827586206897,0.08547212605944848,358,5119,2542
Agregado_Borda,Full Level,8,0.10429722470904208,0.3249008824657884,0.15129965031486967,0.10384227624061834,0.3196551724137931,0.1567599560328063,927,8000,1973
Agregado_Pluralidade,Full Level,8,0.10094001790510296,0.30984567506501254,0.14576966850914927,0.10048168477652067,0.3093103448275862,0.15168681829711675,897,8030,2003
API Maritalk,Full Level,9,0.08280754856403917,0.20604084068721493,0.11209037194157388,0.08147713950762016,0.1917241379310345,0.11435623200329083,556,6268,2344
API Deep-Seek,Full Level,9,0.11735444998650013,0.24318753463784798,0.15253742846130128,0.11964285714285715,0.25413793103448273,0.16269315673289184,737,5423,2163
API GPT-Mini,Full Level,9,0.10449901237725769,0.2097295050517969,0.13331131780573424,0.10418082936777702,0.2113793103448276,0.1395719489981785,613,5271,2287
API GPT‑4o,Full Level,9,0.11861704395276465,0.1942234727373492,0.14107284376200452,0.11724137931034483,0.1993103448275862,0.14763729246487864,578,4352,2322
API Gemini,Full Level,9,0.06419760981085959,0.12230677409728437,0.08102884788438199,0.06530835000909586,0.12379310344827586,0.08550672859354531,359,5138,2541
Agregado_Borda,Full Level,9,0.09719735402367453,0.3370710235750522,0.1448789983064674,0.09670351558609701,0.33482758620689657,0.15006568271385518,971,9070,1929
Agregado_Pluralidade,Full Level,9,0.09321844225604298,0.32076032740759686,0.1385844408009595,0.09271984862065531,0.3210344827586207,0.14388378023336681,931,9110,1969
API Maritalk,Full Level,10,0.08251907746088588,0.20604084068721493,0.11179191720925023,0.08083745274789184,0.1917241379310345,0.11372468807527103,556,6322,2344
